datum,value
1427068800,0.0
1447372800,2585.0
1447718400,2619.0
1448064000,2644.0
1448323200,2671.0
1448496000,2690.0
1449014400,2727.0
1449619200,2776.0
1449964800,2822.0
1450624563,2873.0
1450310400,2850.0
1450825882,2901.0
1451039082,2928.0
1451154927,2946.0
1451515937,2972.0
1451737907,2992.0
1451952023,3022.0
1452075252,3033.0
1452446368,3070.0
1452729600,3099.0
1453459661,3155.0
1454071258,3120.0
1454072970,3210.0
1454251643,3225.0
1454689393,3279.0
1455112816,3296.0
1455290655,3310.0
1455880941,3361.0
1456437166,3407.0
1457028723,3464.0
1457179705,3480.0
1457700434,3524.0
1458254443,3573.0
1458864000,3626.0
1459890292,3704.0
1473795971,4757.0
1473795973,4757.0
1474390277,4809.0
1474390283,4809.0
1474575052,4826.0
1474575055,4826.0
1475323733,4873.0
1475323734,4873.0
1475687031,4911.0
1475687033,4911.0
1476439463,4991.0
1476439466,4991.0
1476735542,5025.0
1477223158,5070.0
1477223159,5070.0
1478867704,5237.0
1479038595,5256.0
1479038596,5256.0
1479470905,5301.0
1479470907,5301.0
1480351285,5400.0
1480351289,5400.0
1482766077,5660.0
1484319596,5845.0
1484319598,5845.0
