datum,value
1427068800,0.0
1447200000,40.2
1447286400,40.317
1447372800,40.437
1447632000,40.855
1448323200,41.9831
1448582400,42.2828
1449014400,42.6101
1449619200,43.5605
1449964800,44.2884
1450310400,44.7352
1450483200,45.171
1450825900,45.6788
1451039069,45.926
1451154915,46.278
1451515927,46.7798
1451737944,47.1494
1452075241,47.6953
1452446387,48.121
1452729600,48.707
1453459680,49.81
1454071236,50.5692
1454251634,50.986
1454689384,51.4313
1455290674,52.555
1455880931,53.491
1456437156,54.132
1457028712,55.0433
1457700467,56.036
1458864000,58.052
1459890281,60.098
1461781137,63.3552
1461781138,63.3552
1473796342,81.1652
1473796347,81.1652
1474390169,81.73252
1474390171,81.73252
1474575091,82.00252
1475323755,82.52252
1475323756,82.52252
1475687061,83.15252
1476735568,84.65
1478867678,88.0465
1478867682,88.0465
1480351304,90.5165
1482925890,94.7365
1482925893,94.7365

